post_id,post_keywords,post_text,post_url
1,js books,"jаvascript для профессиональных веб разработчиков
pdf файл пособие",https://t.me/infSecIT/29/77
2,js books,современный js файл pdf,https://t.me/infSecIT/29/78
3,js books,javascript для начинающих pdf файл,https://t.me/infSecIT/29/79
4,python books,"Программирование для «нормальных» с нуля на языке Python. Часть 1 и 2

Автор: М.В. Сысоева, И.В. Сысоев, 2023

Описание: Книга – учебник, задачник и самоучитель по алгоритмизации и программированию на
языке Python. Она не требует предварительных знаний в области программирования и
может использоваться для обучения «с нуля».
Издание адресовано студентам, аспирантам и преподавателям инженерных и естественно-научных специальностей вузов, школьникам старших классов и учителям информатики. Обучение языку в значительной степени строится на примерах решения задач обработки результатов радиофизического и биологического экспериментов.",https://t.me/infSecIT/29/80
5,python books,"Программирование_для_нормальных_с_нуля_на_языке_Python_учебник_в.pdf
М_В_Сысоева,_И_В_Сысоев_Программирование_для_«нормальных»_с_нуля2.pdf",https://t.me/infSecIT/29/82
6,c books,"Практическое
введение в язык
программирования СИ. 2021
Солдатенко И. С.",https://t.me/infSecIT/29/83
7,js books,"Javascript для хакеров
mc-Garethy Hayes - Javascript for Hackers.pdf
",https://t.me/infSecIT/29/84
8,python books,"Книга: Black Hat Python: программирование для хакеров и пентестеров, 2-е изд

Во втором издании бестселлера Black Hat Python вы исследуете темную сторону возможностей Python — все от написания сетевых снифферов, похищения учетных данных электронной почты до разработки анализа виртуальных машин и создания скрытых троянов.

#python #books",https://t.me/infSecIT/29/85
9,html css js books,"HTML, CSS, & JavaScript All-in-One For Dummies (2023)
Автор: Paul McFedries
Количество страниц: 848

Вы научитесь создавать привлекательные, полезные и удобные в навигации сайты, сочетая HTML, CSS и JavaScript в увлекательных и практичных проектах. Используя 6 книг, собранных в этом полном сборнике, вы узнаете, как создавать статические и динамические веб-сайты с интуитивно понятными макетами и классной анимацией.",https://t.me/infSecIT/29/86
10,html css js books,For.Dummies.HTML.CSS.JavaScript.pdf,https://t.me/infSecIT/29/87
11,assembler books,"Книга ""Программирование на языке ассемблера IBM PC""",https://t.me/infSecIT/29/255
12,assembler books,Программирование_на_языке_ассемблера_2014.pdf,https://t.me/infSecIT/29/256
13,php mysql js css html books,"Книга: ""Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5. 6-е изд.""

Автор: Никсон Робин
Год выхода: 2023

Описание: Новое издание бестселлера описывает как клиентские, так и серверные аспекты веб-разработки. Книга, наполненная ценными практическими советами и подробным теоретическим материалом, поможет вам освоить динамическое веб-программирование с применением самых современных технологий. Для закрепления усвоенных знаний автор расскажет, как создать полнофункциональный сайт, работающий по принципу социальной сети.",https://t.me/infSecIT/29/258
14,php mysql js css html books,"Создаем_динамические_веб_сайты_с_помощью_PHP,_MySQL,_JavaScript.pdf",https://t.me/infSecIT/29/259
15,python cheatsheets,Инфографика полезных Python библиотек,https://t.me/infSecIT/29/260
16,api source,"Laravel — создание крутого API

Описание:
В этом курсе мы полностью разберемся с понятием REST API и научимся писать свои собственный запросы используя лучшие практики на Laravel.

⏱️ Продолжительность: 11 часов 14 минут",https://t.me/infSecIT/29/261
17,api source,Laravel — создание крутого API.zip,https://t.me/infSecIT/29/262
18,wordpress books,WordPress с нуля.pdf,https://t.me/infSecIT/29/272
